customerid,recency,frequency,monetary,R,F,M,RFMgroup,RFMScore,loyalty
12346.0,295,1,77183.6,4,4,1,441,9,Silver
12747.0,-28,103,4196.009999999999,1,1,1,111,3,Platinum
12748.0,-30,4596,33719.73,1,1,1,111,3,Platinum
12749.0,-27,199,4090.88,1,1,1,111,3,Platinum
12820.0,-27,59,942.34,1,2,2,122,5,Platinum
12821.0,184,6,92.72,4,4,4,444,12,Bronze
12822.0,40,46,948.8800000000002,3,2,2,322,7,Gold
12823.0,44,5,1759.5,3,4,1,341,8,Gold
12824.0,29,25,397.11999999999995,3,3,3,333,9,Silver
12826.0,-28,91,1474.72,1,2,2,122,5,Platinum
12827.0,-25,25,430.15,1,3,3,133,7,Gold
12828.0,-28,56,1018.71,1,2,2,122,5,Platinum
12829.0,306,11,293.0,4,4,4,444,12,Bronze
12830.0,7,38,6814.640000000001,2,3,1,231,6,Gold
12831.0,232,9,215.05,4,4,4,444,12,Bronze
12832.0,2,27,383.03000000000003,2,3,3,233,8,Gold
12833.0,115,24,417.38,4,3,3,433,10,Silver
12834.0,252,18,312.38,4,3,3,433,10,Silver
12836.0,29,175,2612.8599999999997,3,1,1,311,5,Platinum
12837.0,143,12,134.1,4,4,4,444,12,Bronze
12838.0,3,123,683.13,2,1,2,212,5,Platinum
12839.0,-28,314,5591.42,1,1,1,111,3,Platinum
12840.0,113,113,2726.77,4,1,1,411,6,Gold
12841.0,-26,420,4022.35,1,1,1,111,3,Platinum
12842.0,40,34,1118.99,3,3,2,332,8,Gold
12843.0,35,103,1702.2600000000002,3,1,1,311,5,Platinum
12844.0,-1,52,325.96,2,2,3,223,7,Gold
12845.0,237,27,354.09,4,3,3,433,10,Silver
12847.0,-8,91,871.5399999999998,2,2,2,222,6,Gold
12849.0,1,51,1050.8899999999999,2,2,2,222,6,Gold
12851.0,66,50,135.18,3,2,4,324,9,Silver
12852.0,264,17,311.55,4,4,3,443,11,Bronze
12853.0,104,78,1957.1000000000004,3,2,1,321,6,Gold
12854.0,48,110,1324.5000000000002,3,1,2,312,6,Gold
12855.0,342,3,38.1,4,4,4,444,12,Bronze
12856.0,-23,314,2179.93,1,1,1,111,3,Platinum
12857.0,180,46,1106.4,4,2,2,422,8,Gold
12863.0,22,5,521.2,3,4,3,343,10,Silver
12864.0,108,3,147.12,3,4,4,344,11,Bronze
12867.0,-4,538,4036.82,2,1,1,211,4,Platinum
12868.0,155,107,1607.0600000000002,4,1,1,411,6,Gold
12871.0,54,11,380.64000000000004,3,4,3,343,10,Silver
12872.0,296,66,599.9700000000001,4,2,3,423,9,Silver
12873.0,252,4,374.0,4,4,3,443,11,Bronze
12875.0,113,2,343.2300000000001,4,4,3,443,11,Bronze
12877.0,-27,154,1535.7700000000002,1,1,2,112,4,Platinum
12878.0,206,47,854.99,4,2,2,422,8,Gold
12879.0,14,10,573.22,2,4,3,243,9,Silver
12881.0,245,7,298.0,4,4,4,444,12,Bronze
12882.0,-21,13,1463.0399999999997,1,4,2,142,7,Gold
12883.0,-6,42,703.47,2,2,2,222,6,Gold
12884.0,58,7,309.05000000000007,3,4,3,343,10,Silver
12885.0,33,71,1175.2199999999998,3,2,2,322,7,Gold
12886.0,37,82,1378.3999999999999,3,2,2,322,7,Gold
12888.0,184,5,354.12,4,4,3,443,11,Bronze
12890.0,-6,82,380.47,2,2,3,223,7,Gold
12891.0,155,3,331.0,4,4,3,443,11,Bronze
12893.0,0,34,188.14000000000001,2,3,4,234,9,Silver
12895.0,12,22,372.8,2,3,3,233,8,Gold
12897.0,174,4,216.5,4,4,4,444,12,Bronze
12901.0,-22,116,17654.539999999997,1,1,1,111,3,Platinum
12902.0,234,10,138.67999999999998,4,4,4,444,12,Bronze
12904.0,-12,72,509.58,2,2,3,223,7,Gold
12906.0,-19,63,2919.81,1,2,1,121,4,Platinum
12908.0,146,2,750.0,4,4,2,442,10,Silver
12909.0,9,91,2178.67,2,2,1,221,5,Platinum
12910.0,-7,75,3075.0400000000004,2,2,1,221,5,Platinum
12912.0,-28,24,1662.3,1,3,1,131,5,Platinum
12913.0,-26,50,2483.6299999999997,1,2,1,121,4,Platinum
12915.0,118,22,363.65,4,3,3,433,10,Silver
12916.0,108,107,3006.1499999999996,3,1,1,311,5,Platinum
12917.0,98,2,594.0,3,4,3,343,10,Silver
12919.0,-22,50,1335.19,1,2,2,122,5,Platinum
12920.0,-13,28,164.23000000000002,1,3,4,134,8,Gold
12921.0,-21,720,16587.09,1,1,1,111,3,Platinum
12922.0,131,28,405.38,4,3,3,433,10,Silver
12923.0,34,29,176.97,3,3,4,334,10,Silver
12924.0,58,30,933.7000000000002,3,3,2,332,8,Gold
12925.0,-26,45,694.05,1,2,2,122,5,Platinum
12928.0,5,84,2062.7,2,2,1,221,5,Platinum
12929.0,281,8,117.85,4,4,4,444,12,Bronze
12930.0,48,25,415.8,3,3,3,333,9,Silver
12931.0,-9,82,42055.96,2,2,1,221,5,Platinum
12933.0,-6,106,607.53,2,1,3,213,6,Gold
12935.0,-28,129,2160.7,1,1,1,111,3,Platinum
12936.0,-13,62,1063.8999999999999,1,2,2,122,5,Platinum
12937.0,-15,120,1504.2700000000002,1,1,2,112,4,Platinum
12938.0,-5,9,114.13999999999999,2,4,4,244,10,Silver
12939.0,34,47,11581.800000000001,3,2,1,321,6,Gold
12940.0,24,99,913.54,3,2,2,322,7,Gold
12942.0,101,75,683.9000000000001,3,2,2,322,7,Gold
12944.0,5,30,604.5099999999999,2,3,3,233,8,Gold
12945.0,258,23,462.95000000000005,4,3,3,433,10,Silver
12947.0,113,97,1603.99,4,2,1,421,7,Gold
12948.0,-14,116,2064.95,1,1,1,111,3,Platinum
12949.0,0,215,4167.22,2,1,1,211,4,Platinum
12950.0,-28,23,1843.0,1,3,1,131,5,Platinum
12951.0,-22,63,1064.07,1,2,2,122,5,Platinum
12952.0,-25,79,1387.79,1,2,2,122,5,Platinum
12953.0,-21,17,329.85,1,4,3,143,8,Gold
12955.0,-29,180,4757.160000000001,1,1,1,111,3,Platinum
12956.0,276,19,108.07,4,3,4,434,11,Bronze
12957.0,-21,238,4017.54,1,1,1,111,3,Platinum
12962.0,-23,16,266.39,1,4,4,144,9,Silver
12963.0,-22,95,1856.63,1,2,1,121,4,Platinum
12965.0,59,109,771.91,3,1,2,312,6,Gold
12966.0,-21,10,160.18,1,4,4,144,9,Silver
12967.0,328,19,1660.9,4,3,1,431,8,Gold
